text_id,term,reference,candidate,model
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,generative ai,"artificial intelligence designed to produce output, especially text or images, normally requiring human intelligence, typically by applying machine learning techniques to large collections of data.","This is a type of artificial intelligence that creates new content, like text, images, or music, rather than just analyzing or organizing existing information. Think of it as a creative machine that can write stories or generate artwork.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,transformer architecture,a type of neural network architecture that transforms or changes an input sequence into an output sequence. They do this by learning context and tracking relationships between sequence components.,A type of model structure used in AI that helps process and generate language more effectively. It allows the AI to understand context and relationships between words better than older models.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,neural network,A neural network is a machine learning model that stacks simple 'neurons' in layers and learns pattern-recognizing weights and biases from data to map inputs to outputs.,"This is a system of algorithms inspired by the human brain, designed to recognize patterns in data. In AI, it processes information and learns from it, similar to how our brains learn from experiences.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,training,the process of learning the skills that you need to do a job,The process of teaching an AI model by feeding it large amounts of data so it can learn patterns and improve its performance. This is similar to how a child learns by listening and observing.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,backpropagation,is an elegant method to calculate how changes to any of the weights or biases of a neural network will affect the accuracy of model predictions.,A method used in training neural networks where the model adjusts itself based on errors it made in predictions. It’s like correcting mistakes to improve future performance.,gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,reinforcement learning with human feedback,"is a machine learning technique in which a “reward model” is trained with direct human feedback, then used to optimize the performance of an artificial intelligence agent through reinforcement learning.","A training method where humans provide feedback on the AI's outputs, helping it learn what is correct or desirable. This is akin to training a pet by rewarding good behavior.",gpt-4o-mini
Generative-AI-in-a-Nutshell-how-to-survive-and-thrive-in-the-age-of-AI,prompt engineering,the occupation or activity of writing instructions for an artificial intelligence program or tool to determine or influence the content that it creates.,The skill of crafting effective questions or commands to get the best responses from an AI. It’s about knowing how to communicate with the AI to achieve desired results.,gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,backlog,a structured and carefully maintained list used by the Scrum product owner to guide the development team's tasks.,"A prioritized list of tasks, features, or ideas that a team needs to work on. It serves as a central repository for all work items in a Scrum project.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,sprint,"short, time-boxed periods where teams focus on completing a set amount of work, enabling incremental delivery.","A set period (usually 1 to 4 weeks) during which a Scrum team works to complete a specific set of tasks from the backlog. It helps teams focus on delivering small, manageable pieces of work.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,scrum master,"a person who facilitates the work performed, especially by eliminating obstacles to the completion of tasks and achievement of goals.",A facilitator for the Scrum team who ensures that the team follows Agile principles and practices. They help remove obstacles and support the team in doing their best work.,gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,product owner,is the Agile team member primarily responsible for maximizing the value delivered by the team by ensuring that the team backlog is aligned with customer and stakeholder needs.,The person responsible for defining the features of the product and prioritizing the backlog. They ensure that the team is working on the most valuable tasks.,gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,kanban,"a visual way to manage work as it moves through a process. Work items are shown on a board with columns like “To Do,” “In Progress,” and “Done,” so everyone can see what’s being worked on, what’s finished, and what’s up next.",Another Agile methodology that uses visual boards to track work progress. It focuses on limiting the amount of work in progress to improve efficiency.,gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,extreme programming,is an agile software development framework that aims to produce higher quality software and higher quality of life for the development team.,"An Agile methodology that emphasizes high-quality software development practices, such as frequent testing and pair programming, to respond quickly to changing customer needs.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,pair programming,"Pair programming consists of two programmers sharing a single workstation (one screen, keyboard, and mouse among the pair). The programmer at the keyboard is usually called the “driver”, the other, also actively involved in the programming task but focusing more on overall direction is the “navigator”; it is expected that the programmers swap roles every few minutes or so.","A practice in XP where two programmers work together at one computer, enhancing collaboration and code quality.",gpt-4o-mini
Introduction_to_Agile_Methodologies___Google_Project_Management_Certificate__BaH04m_fS1c_,continuous integration,is a software development practice in which developers regularly integrate new code and code changes into a central code repository throughout the development cycle.,"A practice where code changes are frequently merged into a shared repository, allowing for quick feedback and reducing integration issues.",gpt-4o-mini
Understanding_Thermal_Radiation,thermal radiation,"process by which energy, in the form of electromagnetic radiation, is emitted by a heated surface in all directions and travels directly to its point of absorption at the speed of light; thermal radiation does not require an intervening medium to carry it.","This is the heat energy emitted by an object due to its temperature. All objects above absolute zero emit thermal radiation, which can be felt as heat.",gpt-4o-mini
Understanding_Thermal_Radiation,conduction,"the process by which heat or electricity is directly transmitted through the material of a substance when there is a difference of temperature or of electrical potential between adjoining regions, without movement of the material.","A method of heat transfer where heat moves through a material without the material itself moving. For example, when a metal spoon heats up in a hot soup, the heat travels through the spoon by conduction.",gpt-4o-mini
Understanding_Thermal_Radiation,convection,"the movement caused within a fluid by the tendency of hotter and therefore less dense material to rise, and colder, denser material to sink under the influence of gravity, which consequently results in transfer of heat.","This is heat transfer that occurs in fluids (liquids and gases) where warmer parts of the fluid rise and cooler parts sink, creating a circulation pattern that transfers heat.",gpt-4o-mini
Understanding_Thermal_Radiation,emissive power,the energy of thermal radiation emitted in all directions per unit time from each unit area of a surface at any given temperature.,"This is the amount of thermal radiation emitted by a surface per unit area, measured in watts per square meter. It indicates how effectively an object radiates heat.",gpt-4o-mini
Understanding_Thermal_Radiation,wien's displacement law,relationship between the temperature of a blackbody (an ideal substance that emits and absorbs all frequencies of light) and the wavelength at which it emits the most light.,"This law relates the temperature of a black body to the wavelength at which it emits the most radiation. As temperature increases, the peak wavelength decreases, meaning hotter objects emit radiation at shorter wavelengths.",gpt-4o-mini
Understanding_Thermal_Radiation,planck's law,"a mathematical relationship formulated in 1900 by German physicist Max Planck to explain the spectral-energy distribution of radiation emitted by a blackbody (a hypothetical body that completely absorbs all radiant energy falling upon it, reaches some equilibrium temperature, and then reemits that energy as quickly as it absorbs it).",A formula that describes how the intensity of thermal radiation emitted by a black body varies with wavelength at a given temperature. It was crucial in developing quantum mechanics.,gpt-4o-mini
Understanding_Thermal_Radiation,emissivity,"the ability of an object to emit (= send out) heat, compared to the heat emitted by a black object of the same temperature.","A measure of how much thermal radiation a real object emits compared to a black body at the same temperature. It ranges from 0 to 1, where 1 means it emits as much as a black body.",gpt-4o-mini
Understanding_Thermal_Radiation,absorptivity,"a measure of how much light is absorbed by a substance when it is exposed to electromagnetic radiation, indicating the extent to which a material can interact with light.",The fraction of incoming radiation that is absorbed by a surface. It indicates how well a material can absorb heat.,gpt-4o-mini
Understanding_Thermal_Radiation,reflectivity,"the property of reflecting light or radiation, especially reflectance as measured independently of the thickness of a material.",The fraction of incoming radiation that is reflected by a surface. It shows how much heat is bounced back rather than absorbed.,gpt-4o-mini
Understanding_Thermal_Radiation,transmissivity,"the degree to which a medium allows something, in particular electromagnetic radiation, to pass through it.",The fraction of incoming radiation that passes through a material. This is important for materials that are not completely opaque.,gpt-4o-mini
What_is_sustainable_tourism__Why_sustainable_tourism_management_is_so_important__kgAHZHkMTQU_,sustainability,the quality of causing little or no damage to the environment and therefore able to continue for a long time.,"This refers to the ability to meet our current needs without compromising the ability of future generations to meet theirs. In travel, it means making choices that protect the environment, support local communities, and ensure economic viability.",gpt-4o-mini
What_is_sustainable_tourism__Why_sustainable_tourism_management_is_so_important__kgAHZHkMTQU_,greenwashing,the dissemination of misleading or deceptive publicity by an organization with the aim of presenting an environmentally responsible public image.,This is when companies falsely claim to be environmentally friendly to improve their public image. It can mislead consumers who want to make sustainable choices.,gpt-4o-mini
What_is_sustainable_tourism__Why_sustainable_tourism_management_is_so_important__kgAHZHkMTQU_,economic leakage,"refers to the outflow of financial resources from a local or regional economy, diminishing the intended positive economic impacts of sustainable development initiatives.","This occurs when money spent by tourists does not benefit the local economy, often because it goes to foreign-owned businesses or imported goods. It means that local communities may not see the financial benefits of tourism.",gpt-4o-mini
